Código de artículo;Nombre del producto;Sección de producción;Nombre de búsqueda;Tipo de producto;Subtipo de producto;Grupo de dimensiones de producto;Código 1;Código 2;Código 3;Código 4;Grupo 1;Grupo 2;Tipo de producción
40100215;PES NARANJA SALMON RAL 2012;5;;Artículo;Producto;;Toldo;;;C;;;Ninguno
40100216;PES RAL 9001 TEXTUR. (SCHELFAUT);5;RAA01;Artículo;Producto;;Toldo;;;C;;;Ninguno
40100217;PES RAL 9010 TEXTUR. (SCHELFAUT);5;;Artículo;Producto;;Toldo;;;C;;;Ninguno
40100218;PES RAL 8019 TEXTUR. (SCHELFAUT);5;;Artículo;Producto;;Toldo;;;C;;;Ninguno
40100219;PES RAL 7016 TEXTUR. (SCHELFAUT);5;;Artículo;Producto;;Toldo;;;C;;;Ninguno
40100220;PES NEGRO RAL 9017;5;;Artículo;Producto;;Toldo;;;C;;;Ninguno
40100221;PES GRIS METALIZADO;5;;Artículo;Producto;;Toldo;;;C;;;Ninguno
40100222;PES NARANJA RAL 2010 C-III;5;;Artículo;Producto;;Toldo;;;C;;;Ninguno
40100223;PES AZUL RAL 5019 C-III;5;;Artículo;Producto;;Toldo;;;C;;;Ninguno
40100224;PES BLANCO NIEVE C/TGIC;5;;Artículo;Producto;;Toldo;;;C;;;Ninguno
40100225;PES VIOLETA RAL 4001 C-III;5;;Artículo;Producto;;Toldo;;;C;;;Ninguno
40100226;PES NEGRO C/TGIC;5;;Artículo;Producto;;Toldo;;;C;;;Ninguno
40100227;PES AMARILLO RAL 1016 C-III;5;;Artículo;Producto;;Toldo;;;C;;;Ninguno
40100228;PES BLANCO SIMBAC C-II (/20);5;40100228;Artículo;Producto;;Toldo;;;C;;;Ninguno
40100229;PES BLANCO R-9001 (/201);5;;Artículo;Producto;;Toldo;;;C;;;Ninguno
40100230;PES GRIS R-7016 C-I (/32) MATE;5;;Artículo;Producto;;Toldo;;;C;;;Ninguno
40100231;PES AZUL R-5011 C-I (/62);5;;Artículo;Producto;;Toldo;;;C;;;Ninguno
40100232;PES NEGRO NOIR 2100 SABLE;5;40100232;Artículo;Producto;;Toldo;;;C;;;Ninguno
40100233;PES AZUL D1036 600 SABLE;5;;Artículo;Producto;;Toldo;;;C;;;Ninguno
40100234;PES GRIS TEXTUR. (VRN) RDHM;5;40100234;Artículo;Producto;;Toldo;;;C;;;Ninguno
40100235;PES MARRON TEXTUR. (VRN) RDHM;5;;Artículo;Producto;;Toldo;;;C;;;Ninguno
40100236;PES RAL 7039 TEXTUR. (VRN) RDHM;5;;Artículo;Producto;;Toldo;;;C;;;Ninguno
40100237;PES VERDE RAL 6025 C-III;5;;Artículo;Producto;;Toldo;;;C;;;Ninguno
40100238;PES ROJO RAL 3018 C-III;5;;Artículo;Producto;;Toldo;;;C;;;Ninguno
40100239;PES GRIS RAL 7035 C/TGIC;5;;Artículo;Producto;;Toldo;;;C;;;Ninguno
40100240;PES GRIS RAL 7015 MATE C-I;5;;Artículo;Producto;;Toldo;;;C;;;Ninguno
40100241;PES ROJO RAL 3017 C-III;5;;Artículo;Producto;;Toldo;;;C;;;Ninguno
40100242;PES GRIS PERSYCOM C-I;5;;Artículo;Producto;;Toldo;;;C;;;Ninguno
40100243;PES MARRON /42 SIMBAC;5;;Artículo;Producto;;Toldo;;;C;;;Ninguno
40100244;PES VERDE TEXTURADO SOMFY;5;;Artículo;Producto;;Toldo;;;C;;;Ninguno
40100245;PES VERDE RAL 6013 C-III;5;;Artículo;Producto;;Toldo;;;C;;;Ninguno
40100246;PES MARRON CLARO AHT;5;;Artículo;Producto;;Toldo;;;C;;;Ninguno
40100247;PES MARRON OSCURO AHT;5;;Artículo;Producto;;Toldo;;;C;;;Ninguno
